                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 3.0448,                0.48351,                0.10689,                0.62467,                0.49046,                0.51067,                0.31173,                  2.653,                0.54695,                0.06038,                 0.0001,                 0.0001,                 0.0001
                     79,                 3.0439,                0.48192,                0.10838,                0.62654,                0.49174,                0.51136,                0.31232,                 2.6527,                 0.5466,                0.06044,                 0.0001,                 0.0001,                 0.0001
                     80,                  3.067,                0.48084,                0.10791,                0.63038,                0.49218,                 0.5121,                0.31311,                 2.6798,                0.54702,                0.06017,                 0.0001,                 0.0001,                 0.0001
                     81,                 3.0429,                0.48063,                0.10923,                0.63093,                 0.4931,                 0.5127,                0.31336,                 2.6506,                0.54703,                 0.0601,                 0.0001,                 0.0001,                 0.0001
                     82,                 3.0567,                0.48114,                0.10941,                0.63391,                 0.4909,                0.51299,                0.31371,                 2.6486,                0.54732,                0.05999,                 0.0001,                 0.0001,                 0.0001
                     83,                 3.0475,                0.48221,                0.10731,                0.63139,                0.49193,                0.51216,                0.31373,                 2.6487,                0.54707,                0.06016,                 0.0001,                 0.0001,                 0.0001
                     84,                 3.0298,                0.48245,                0.10697,                 0.6264,                0.49333,                0.51109,                0.31316,                 2.6492,                0.54697,                0.06024,                 0.0001,                 0.0001,                 0.0001
                     85,                 3.0595,                0.48111,                0.10819,                  0.628,                0.49285,                0.51117,                0.31299,                  2.649,                0.54698,                0.06019,                 0.0001,                 0.0001,                 0.0001
                     86,                 3.0433,                0.47916,                0.10822,                0.63378,                0.49536,                0.51313,                0.31451,                 2.6489,                0.54617,                0.06003,                 0.0001,                 0.0001,                 0.0001
                     87,                  3.023,                0.48325,                0.10523,                  0.633,                0.49513,                0.51307,                0.31521,                  2.649,                0.54652,                0.06003,                 0.0001,                 0.0001,                 0.0001
                     88,                 3.0269,                0.48122,                0.10554,                0.63161,                0.49424,                0.51394,                0.31538,                 2.6489,                0.54597,                0.05989,                 0.0001,                 0.0001,                 0.0001
                     89,                 3.0198,                 0.4831,                 0.1037,                0.63149,                0.49472,                0.51494,                0.31631,                 2.6475,                0.54642,                0.05983,                 0.0001,                 0.0001,                 0.0001
                     90,                 3.0407,                0.48089,                0.10735,                0.63027,                0.49759,                0.51668,                0.31769,                 2.6463,                 0.5468,                0.05967,                 0.0001,                 0.0001,                 0.0001
                     91,                 3.0202,                0.47957,                0.10668,                0.63937,                0.49567,                0.51731,                0.31792,                  2.646,                0.54684,                0.05995,                 0.0001,                 0.0001,                 0.0001
                     92,                 3.0226,                 0.4824,                0.10402,                0.63514,                0.49519,                0.51809,                 0.3182,                  2.646,                0.54655,                0.05997,                 0.0001,                 0.0001,                 0.0001
                     93,                 3.0133,                0.48191,                0.10397,                0.63579,                0.49631,                0.51856,                0.31881,                 2.6451,                0.54649,                0.05997,                 0.0001,                 0.0001,                 0.0001
